id,district,sq_mt_built,n_rooms,n_bathrooms,buy_price,buy_price_by_area
21541,Butarque,91.0,2,2,228208,2508
21539,Villaverde,80.0,3,1,140000,1750
21537,Los Ángeles,80.0,3,1,165000,2062
21535,San Andrés,50.0,1,1,159000,3180
21534,Villaverde,136.0,3,1,135990,1000
21533,Los Ángeles,96.0,2,2,210000,2188
21532,Los Rosales,71.0,2,2,198000,2789
21531,Los Rosales,74.0,2,1,139900,1891
21529,Villaverde,93.0,3,1,160000,1720
21525,San Andrés,115.0,3,1,154900,1347
21523,Villaverde,72.0,3,1,139400,1936
21522,San Andrés,100.0,2,2,154900,1549
21521,San Andrés,90.0,3,2,155000,1722
21519,Los Ángeles,102.0,3,2,225000,2206
21518,Villaverde,105.0,2,1,189000,1800
21517,Los Rosales,95.0,4,1,138000,1453
21516,Los Ángeles,120.0,3,1,195000,1625
21515,Butarque,90.0,3,2,222000,2467
21513,Los Ángeles,80.0,3,1,182000,2275
21512,San Andrés,120.0,3,2,295000,2458
21511,Los Ángeles,82.0,2,2,270000,3293
21509,Los Rosales,103.0,3,2,250000,2427
21502,Los Rosales,71.0,3,1,149000,2099
21501,Los Rosales,70.0,3,1,135000,1929
21500,Los Rosales,98.0,4,2,230000,2347
21498,Los Rosales,115.0,4,1,184900,1608
21495,San Andrés,120.0,3,1,180000,1500
21493,Los Ángeles,92.0,4,1,163000,1772
21492,Butarque,154.0,3,2,280000,1818
21491,Los Rosales,105.0,3,2,180000,1714
21489,Villaverde,93.0,3,1,166200,1787
21485,Villaverde,85.0,3,1,135000,1588
21480,San Andrés,83.0,2,1,146000,1759
21477,Butarque,53.0,1,1,146000,2755
21476,Butarque,125.0,3,3,275000,2200
21475,Villaverde,153.0,4,2,178000,1163
21470,Villaverde,95.0,3,1,199000,2095
21469,San Andrés,65.0,2,1,232000,3569
21468,San Andrés,69.0,2,1,240000,3478
21467,Los Rosales,115.0,4,2,330000,2870
21465,San Andrés,90.0,3,2,172000,1911
21459,Villaverde,80.0,2,2,179990,2250
21458,San Andrés,68.0,3,1,156000,2294
21457,San Andrés,89.0,2,2,228000,2562
21453,Villaverde,92.0,3,2,175000,1902
21451,Los Rosales,63.0,3,1,167000,2651
21447,Los Rosales,125.0,3,2,210000,1680
21446,Butarque,125.0,3,3,275000,2200
21441,San Andrés,95.0,2,2,154500,1626
21438,Villaverde,85.0,3,1,154900,1822
21426,Los Rosales,70.0,2,1,202000,2886
21425,Los Rosales,47.0,1,1,144000,3064
21422,Butarque,103.0,3,2,265000,2573
21421,Butarque,90.0,3,2,290000,3222
21417,Butarque,101.0,2,2,255000,2525
21410,San Andrés,70.0,3,1,135000,1929
21409,Los Rosales,75.0,2,2,195000,2600
21408,San Andrés,120.0,3,1,195000,1625
21407,San Andrés,91.0,2,2,215000,2363
21397,Los Ángeles,100.0,4,1,165000,1650
21396,Los Ángeles,125.0,4,2,173000,1384
21394,San Cristóbal,130.0,4,2,168000,1292
21387,Los Rosales,115.0,4,1,184900,1608
21386,San Cristóbal,70.0,3,1,142500,2036
21384,San Andrés,90.0,2,1,140000,1556
21380,San Andrés,114.0,4,2,299000,2623
21379,San Andrés,90.0,3,2,180000,2000
21376,Los Ángeles,96.0,4,2,170000,1771
21374,Los Rosales,85.0,3,2,230000,2706
21373,Butarque,90.0,3,2,300000,3333
21371,San Andrés,90.0,2,2,240000,2667
21370,San Cristóbal,60.0,3,1,140000,2333
21369,Los Ángeles,105.0,3,2,135000,1286
21368,Butarque,140.0,3,3,340000,2429
21367,San Andrés,112.0,3,2,230000,2054
21366,San Cristóbal,60.0,3,1,145000,2417
21365,Los Rosales,62.0,2,1,142450,2298
21364,San Andrés,240.0,4,3,580000,2417
21363,Los Ángeles,81.0,3,1,160000,1975
21362,Los Rosales,75.0,3,1,180000,2400
21360,Butarque,95.0,2,2,250000,2632
21359,San Andrés,49.0,1,1,190000,3878
21358,San Andrés,90.0,3,1,169000,1878
21357,San Andrés,78.0,2,1,168000,2154
21356,San Andrés,100.0,3,1,210000,2100
21352,San Andrés,110.0,3,2,189000,1718
21351,Butarque,115.0,3,3,245000,2130
21349,San Cristóbal,75.0,3,1,155000,2067
21348,Los Ángeles,116.0,4,2,170000,1466
21345,Butarque,81.0,3,1,139500,1722
21344,Los Ángeles,95.0,4,2,198000,2084
21341,San Andrés,50.0,1,1,148000,2960
21340,San Andrés,242.0,4,3,380000,1570
21339,Los Rosales,166.0,3,1,300000,1807
21338,San Andrés,50.0,2,1,140000,2800
21337,Los Ángeles,94.0,4,1,190000,2021
21336,Los Ángeles,80.0,3,1,150000,1875
21334,San Andrés,105.0,3,2,190000,1810
21333,Los Ángeles,100.0,3,1,142000,1420
21331,Villaverde,85.0,2,2,229000,2694
21330,San Andrés,72.0,3,1,140000,1944
21328,San Andrés,106.0,3,1,145000,1368
21326,San Andrés,60.0,2,1,150000,2500
21325,Los Rosales,71.0,2,1,202000,2845
21324,Los Rosales,48.0,1,1,144000,3000
21320,San Andrés,115.0,3,1,147000,1278
21317,San Andrés,118.0,3,2,179000,1517
21314,Butarque,147.0,4,2,340000,2313
21313,Los Rosales,81.0,3,1,139500,1722
21312,Los Ángeles,108.0,4,2,156000,1444
21311,Los Rosales,133.0,4,2,280000,2105
21310,San Cristóbal,90.0,3,2,139000,1544
21308,San Andrés,95.0,2,1,154500,1626
21306,San Andrés,115.0,3,1,148000,1287
21302,Los Rosales,100.0,3,2,179000,1790
21299,Los Ángeles,105.0,3,2,260000,2476
21298,San Andrés,93.0,2,2,210000,2258
21297,Butarque,80.0,2,2,250000,3125
21296,Los Ángeles,54.0,2,1,148000,2741
21292,Villaverde,100.0,3,2,299995,3000
21291,San Andrés,62.0,2,2,148000,2387
21289,San Andrés,83.0,3,1,155000,1867
21283,Los Rosales,70.0,2,2,196000,2800
21281,Los Rosales,100.0,3,2,210000,2100
21280,Los Rosales,90.0,4,2,230000,2556
21277,San Andrés,90.0,3,1,140000,1556
